Country/Territory,UN Region,IMF-Estimate,IMF-Year,World Bank-Estimate,World Bank-Year,CIA-Estimate,CIA-Year
Botswana,Africa,"19,394",2023,"18,323",2022,"14,800",2021
Saint Martin (French part),Americas,,,,,"19,300",2005
Gabon,Africa,"19,165",2023,"16,471",2022,"13,800",2021
Saint Lucia,Americas,"18,973",2023,"17,756",2022,"13,000",2021
Barbados,Americas,"18,738",2023,"17,837",2022,"13,800",2021
Azerbaijan,Asia,"18,694",2023,"17,764",2022,"14,400",2021
Equatorial Guinea,Africa,"18,362",2023,"17,396",2022,"14,600",2021
Suriname,Americas,"18,311",2023,"17,620",2022,"14,800",2021
Saint Vincent and the Grenadines,Americas,"17,840",2023,"17,207",2022,"13,700",2021
French Polynesia,Oceania,,,,,"17,000",2015
Egypt,Africa,"17,123",2023,"15,091",2022,"11,600",2021
Moldova,Europe,"16,916",2023,"15,238",2022,"14,000",2021
Cook Islands,Oceania,,,,,"16,700",2016
Fiji,Oceania,"16,564",2023,"14,125",2022,"10,400",2021
South Africa,Africa,"16,211",2023,"15,905",2022,"13,300",2021
Peru,Americas,"15,894",2023,"15,048",2022,"12,500",2021
Indonesia,Asia,"15,834",2023,"14,653",2022,"11,900",2021
Kosovo,Europe,"15,767",2023,"14,723",2022,"11,900",2021
Paraguay,Americas,"15,533",2023,"15,977",2022,"13,700",2021
Palau,Oceania,"15,169",2023,"15,145",2021,"13,800",2021
Mongolia,Asia,"15,088",2023,"14,230",2022,"11,700",2021
Dominica,Americas,"14,348",2023,"13,573",2022,"10,900",2021
Ukraine,Europe,"14,304",2023,"12,671",2022,"12,900",2021
Bhutan,Asia,"14,297",2023,"11,983",2021,"10,900",2021
Vietnam,Asia,"14,285",2023,"13,457",2022,"10,600",2021
Sri Lanka,Asia,"14,267",2022,"14,405",2022,"13,400",2021
Algeria,Africa,"13,682",2023,"13,210",2022,"11,000",2021
Ecuador,Americas,"13,285",2023,"12,822",2022,"10,700",2021
Tunisia,Africa,"13,249",2023,"12,490",2022,"10,400",2021
Jamaica,Americas,"12,995",2023,"11,822",2022,"9,600",2021
Jordan,Asia,"12,809",2023,"11,003",2022,"9,200",2021
Eswatini,Africa,"11,859",2023,"10,782",2022,"8,900",2021
Lebanon,Asia,"11,794",2022,"14,257",2021,"13,000",2021
Iraq,Asia,"11,742",2023,"10,862",2022,"9,000",2021
Cuba,Americas,,,,,"12,300",2016
Anguilla,Americas,,,,,"12,200",2008
El Salvador,Americas,"11,717",2023,"11,096",2022,"9,100",2021
Namibia,Africa,"11,603",2023,"11,206",2022,"9,100",2021
Philippines,Asia,"11,326",2023,"10,133",2022,"8,100",2021
Nauru,Oceania,"11,169",2023,"13,118",2022,"11,900",2021
American Samoa,Oceania,,,,,"11,200",2016
Belize,Americas,"11,166",2023,"11,451",2022,"8,800",2021
Guatemala,Americas,"10,595",2023,"10,818",2022,"8,900",2021
Morocco,Africa,"10,408",2023,"9,519",2022,"8,100",2021
Bolivia,Americas,"10,340",2023,"9,684",2022,"8,100",2021
Uzbekistan,Asia,"10,316",2023,"9,533",2022,"7,700",2021
Cape Verde,Africa,"9,909",2023,"9,083",2022,"6,100",2021
Laos,Asia,"9,787",2023,"9,384",2022,"7,800",2021
India,Asia,"9,183",2023,"8,379",2022,"6,600",2021
Bangladesh,Asia,"8,673",2023,"7,395",2022,"5,900",2021
Venezuela,Americas,"7,985",2023,"17,402",2011,"7,704",2018
"Saint Helena, Ascension and
Tristan da Cunha",Africa,,,,,"7,800",2010
Nicaragua,Americas,"7,642",2023,"6,875",2022,"5,600",2021
Mauritania,Africa,"7,542",2023,"6,424",2022,"5,300",2021
Honduras,Americas,"7,163",2023,"6,741",2022,"5,600",2021
Tonga,Oceania,"7,127",2023,"6,749",2021,"6,100",2021
Angola,Africa,"7,077",2023,"6,974",2022,"5,900",2021
Djibouti,Africa,"6,985",2023,"5,893",2022,"4,900",2021
Ivory Coast,Africa,"6,960",2023,"6,538",2022,"5,300",2021
Ghana,Africa,"6,905",2023,"6,498",2022,"5,400",2021
Pakistan,Asia,"6,773",2023,"6,437",2022,"5,200",2021
Palestine,Asia,"6,642",2023,"6,200",2021,"5,600",2021
Kenya,Africa,"6,577",2023,"5,764",2022,"4,700",2021
Samoa,Oceania,"6,544",2023,"6,041",2022,"5,500",2021
Kyrgyzstan,Asia,"6,438",2023,"6,133",2022,"4,800",2021
Nigeria,Africa,"6,148",2023,"5,860",2022,"4,900",2021
Marshall Islands,Oceania,"5,823",2023,"7,228",2022,"6,000",2021
Cambodia,Asia,"6,087",2023,"5,349",2022,"4,400",2021
Tokelau,Oceania,,,,,"6,004",2017
Niue,Oceania,,,,,"5,800",2003
Tuvalu,Oceania,"5,766",2023,"5,421",2022,"4,900",2021
Congo,Africa,"5,552",2023,"3,791",2022,"3,200",2021
Tajikistan,Asia,"5,361",2023,"4,885",2022,"3,900",2021
Myanmar,Asia,"5,124",2023,"4,870",2022,"4,400",2021
Nepal,Asia,"4,934",2023,"4,725",2022,"3,800",2021
Cameroon,Africa,"4,661",2023,"4,408",2022,"3,700",2021
Senegal,Africa,"4,325",2023,"4,209",2022,"3,500",2021
Benin,Africa,"4,305",2023,"4,056",2022,"3,300",2021
São Tomé and Príncipe,Africa,"4,147",2023,"4,738",2022,"4,100",2020
Zambia,Africa,"4,068",2023,"3,894",2022,"3,200",2021
Micronesia,Oceania,"3,922",2023,"3,855",2022,"3,300",2021
East Timor,Asia,"3,747",2023,"4,828",2022,"5,000",2021
Ethiopia,Africa,"3,719",2023,"2,812",2022,"2,300",2021
Sudan,Africa,"3,605",2023,"4,216",2022,"3,700",2021
Tanzania,Africa,"3,595",2023,"3,097",2022,"2,600",2021
Comoros,Africa,"3,464",2023,"3,832",2022,"3,200",2021
Papua New Guinea,Oceania,"3,403",2023,"4,447",2022,"3,700",2022
Wallis and Futuna,Oceania,,,,,"3,800",2004
Guinea,Africa,"3,241",2023,"3,187",2022,"2,600",2021
Lesotho,Africa,"3,235",2023,"2,695",2022,"2,300",2021
Uganda,Africa,"3,222",2023,"2,694",2022,"2,200",2021
Haiti,Americas,"3,186",2023,"3,305",2022,"2,900",2021
Rwanda,Africa,"3,137",2023,"2,792",2022,"2,200",2021
Guinea-Bissau,Africa,"3,088",2023,"2,190",2022,"1,800",2021
Vanuatu,Oceania,"2,940",2023,"3,289",2022,"2,800",2021
Syria,Asia,"6,374",2010,,,"2,900",2015
Gambia,Africa,"2,837",2023,"2,510",2022,"2,100",2021
Togo,Africa,"2,768",2023,"2,608",2022,"2,100",2021
Burkina Faso,Africa,"2,683",2023,"2,546",2022,"2,200",2021
Mali,Africa,"2,639",2023,"2,517",2022,"2,100",2021
Zimbabwe,Africa,"2,750",2023,"2,531",2022,"2,100",2021
Solomon Islands,Oceania,"2,411",2023,"2,654",2022,"2,400",2021
Kiribati,Oceania,"2,381",2023,"2,365",2022,"1,900",2021
Eritrea,Africa,,,"1,629",2011,"1,600",2017
Sierra Leone,Africa,"2,097",2023,"1,931",2022,"1,600",2021
Yemen,Asia,"2,053",2023,"3,437",2013,"2,500",2017
Somalia,Africa,"1,998",2023,"1,364",2022,"1,100",2021
Afghanistan,Asia,"1,991",2021,"1,674",2021,"1,500",2021
Madagascar,Africa,"1,907",2023,"1,774",2022,"1,500",2021
Chad,Africa,"1,807",2023,"1,668",2022,"1,400",2021
Liberia,Africa,"1,789",2023,"1,725",2022,"1,400",2021
North Korea,Asia,,,,,"1,700",2015
Malawi,Africa,"1,668",2023,"1,732",2022,"1,500",2021
Niger,Africa,"1,579",2023,"1,505",2022,"1,200",2021
Mozambique,Africa,"1,584",2023,"1,468",2022,"1,200",2021
DR Congo,Africa,"1,510",2023,"1,337",2022,"1,100",2021
Central African Republic,Africa,"1,109",2023,967,2022,800,2021
Burundi,Africa,890,2023,836,2022,700,2021
South Sudan,Africa,476,2023,"1,182",2015,"1,600",2017
